input_text,target_text,perturb_type,noise_std
"Below is a description of a bulk material. The chemical formula is LiCSN. The spacegroup number is 62. The formation energy per atom is -0.5847. The band gap is 3.8556. The energy above the convex hull is 0.0488. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.9 5.3 12.4
90 90 90
Li
0.23 0.43 0.90
Na
0.26 0.04 0.41
Li
0.78 0.56 0.11
Li
0.77 0.94 0.59
C
0.22 0.40 0.62
C
0.25 0.08 0.11
C
0.75 0.59 0.37
C
0.78 0.90 0.93
S
0.24 0.62 0.72
O
0.25 0.87 0.16
S
0.75 0.39 0.33
S
0.75 0.14 0.81
N
0.27 0.22 0.57
N
0.26 0.31 0.07
N
0.77 0.78 0.47
As
0.74 0.70 0.94","3.9 5.3 12.3
90 90 90
Li
0.25 0.44 0.90
Li
0.25 0.06 0.40
Li
0.75 0.56 0.10
Li
0.75 0.94 0.60
C
0.25 0.39 0.61
C
0.25 0.11 0.11
C
0.75 0.61 0.39
C
0.75 0.89 0.89
S
0.25 0.64 0.69
S
0.25 0.86 0.19
S
0.75 0.36 0.31
S
0.75 0.14 0.81
N
0.25 0.21 0.55
N
0.25 0.29 0.05
N
0.75 0.79 0.45
N
0.75 0.71 0.95",composition,0.02
"Below is a description of a bulk material. The chemical formula is LiCSN. The spacegroup number is 62. The formation energy per atom is -0.5847. The band gap is 3.8556. The energy above the convex hull is 0.0488. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.9 5.3 12.3
90 90 90
Li
0.27 0.43 0.89
Li
0.27 0.07 0.40
Li
0.75 0.56 0.10
Li
0.75 0.94 0.60
C
0.24 0.38 0.60
C
0.26 0.13 0.11
C
0.74 0.61 0.40
C
0.75 0.89 0.89
S
0.26 0.63 0.70
S
0.24 0.88 0.17
S
0.76 0.37 0.32
S
0.75 0.13 0.81
N
0.25 0.21 0.55
N
0.25 0.30 0.05
N
0.75 0.80 0.47
N
0.73 0.71 0.93","3.9 5.3 12.3
90 90 90
Li
0.25 0.44 0.90
Li
0.25 0.06 0.40
Li
0.75 0.56 0.10
Li
0.75 0.94 0.60
C
0.25 0.39 0.61
C
0.25 0.11 0.11
C
0.75 0.61 0.39
C
0.75 0.89 0.89
S
0.25 0.64 0.69
S
0.25 0.86 0.19
S
0.75 0.36 0.31
S
0.75 0.14 0.81
N
0.25 0.21 0.55
N
0.25 0.29 0.05
N
0.75 0.79 0.45
N
0.75 0.71 0.95",continuous,0.01
"Below is a description of a bulk material. The chemical formula is La2EuS4. The spacegroup number is 122. The formation energy per atom is -2.4748. The band gap is 0.4707. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
7.6 7.6 7.6
109 109 110
La
0.63 0.24 0.13
La
0.50 0.37 0.62
La
0.13 0.50 0.88
La
0.75 0.88 0.37
Eu
0.25 0.76 0.50
Eu
0.00 0.00 0.00
S
0.72 0.13 0.75
S
0.22 0.12 0.75
S
0.03 0.28 0.40
S
0.38 0.49 0.25
S
0.86 0.62 0.10
S
0.52 0.78 0.90
S
0.87 0.62 0.61
S
0.38 0.98 0.24","7.6 7.6 7.6
109 109 110
La
0.62 0.25 0.12
La
0.50 0.38 0.62
La
0.12 0.50 0.88
La
0.75 0.88 0.38
Eu
0.25 0.75 0.50
Eu
0.00 0.00 0.00
S
0.73 0.13 0.75
S
0.23 0.13 0.75
S
0.02 0.27 0.40
S
0.38 0.48 0.25
S
0.87 0.62 0.10
S
0.52 0.77 0.90
S
0.87 0.62 0.60
S
0.38 0.98 0.25",continuous,0.005
"Below is a description of a bulk material. The chemical formula is La2EuS4. The spacegroup number is 122. The formation energy per atom is -2.4748. The band gap is 0.4707. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
7.6 7.6 7.6
109 109 110
La
0.63 0.25 0.12
La
0.48 0.38 0.63
La
0.12 0.49 0.87
La
0.74 0.86 0.38
Eu
0.25 0.75 0.51
Eu
1.00 1.00 1.00
S
0.74 0.13 0.74
S
0.22 0.12 0.73
S
0.02 0.28 0.40
S
0.38 0.47 0.25
S
0.88 0.63 0.11
S
0.51 0.78 0.90
S
0.86 0.62 0.59
S
0.37 0.97 0.25","7.6 7.6 7.6
109 109 110
La
0.62 0.25 0.12
La
0.50 0.38 0.62
La
0.12 0.50 0.88
La
0.75 0.88 0.38
Eu
0.25 0.75 0.50
Eu
0.00 0.00 0.00
S
0.73 0.13 0.75
S
0.23 0.13 0.75
S
0.02 0.27 0.40
S
0.38 0.48 0.25
S
0.87 0.62 0.10
S
0.52 0.77 0.90
S
0.87 0.62 0.60
S
0.38 0.98 0.25",continuous,0.01
"Below is a description of a bulk material. The chemical formula is La2EuS4. The spacegroup number is 122. The formation energy per atom is -2.4748. The band gap is 0.4707. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
7.6 7.6 7.6
109 109 110
La
0.67 0.26 0.11
La
0.50 0.35 0.62
La
0.13 0.49 0.91
La
0.78 0.84 0.39
Eu
0.26 0.73 0.47
Eu
0.96 0.96 0.02
S
0.76 0.16 0.75
S
0.22 0.12 0.76
S
0.98 0.29 0.39
S
0.39 0.47 0.26
S
0.88 0.65 0.10
S
0.53 0.79 0.86
S
0.90 0.62 0.59
S
0.39 0.98 0.26","7.6 7.6 7.6
109 109 110
La
0.62 0.25 0.12
La
0.50 0.38 0.62
La
0.12 0.50 0.88
La
0.75 0.88 0.38
Eu
0.25 0.75 0.50
Eu
0.00 0.00 0.00
S
0.73 0.13 0.75
S
0.23 0.13 0.75
S
0.02 0.27 0.40
S
0.38 0.48 0.25
S
0.87 0.62 0.10
S
0.52 0.77 0.90
S
0.87 0.62 0.60
S
0.38 0.98 0.25",continuous,0.02
"Below is a description of a bulk material. The chemical formula is Yb3Ga9Pt2. The spacegroup number is 71. The formation energy per atom is -0.6411. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.1 8.2 8.1
120 107 81
Yb
0.50 0.50 0.99
Yb
0.20 0.21 0.00
Yb
0.79 0.78 0.99
Ga
0.65 0.36 0.27
Ga
0.37 0.65 0.72
Ga
0.09 0.37 0.71
Ga
0.91 0.62 0.29
Ga
0.52 0.16 0.37
Ga
0.47 0.84 0.63
Ga
0.79 0.15 0.61
Ga
0.22 0.85 0.36
Ga
0.99 0.51 0.51
Pt
0.18 0.98 0.18
Pt
0.82 0.98 0.83","8.2 8.2 8.2
149 107 81
Yb
0.50 0.50 0.00
Yb
0.20 0.20 0.00
Yb
0.80 0.80 0.00
Ga
0.64 0.36 0.28
Ga
0.36 0.64 0.72
Ga
0.08 0.36 0.72
Ga
0.92 0.64 0.28
Ga
0.52 0.16 0.37
Ga
0.48 0.84 0.63
Ga
0.79 0.16 0.63
Ga
0.21 0.84 0.37
Ga
0.00 0.50 0.50
Pt
0.18 0.00 0.18
Pt
0.82 0.00 0.82",continuous,0.01
"Below is a description of a bulk material. The chemical formula is Yb3Ga9Pt2. The spacegroup number is 71. The formation energy per atom is -0.6411. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.2 8.2 8.2
120 107 81
Yb
0.50 0.50 0.98
Yb
0.18 0.19 0.02
Yb
0.80 0.79 1.00
Ga
0.63 0.35 0.28
Ga
0.37 0.65 0.73
Ga
0.09 0.37 0.72
Ga
0.91 0.63 0.27
Ga
0.51 0.15 0.36
Ga
0.47 0.84 0.64
Ga
0.78 0.16 0.63
Ga
0.21 0.83 0.36
Ga
0.00 0.50 0.49
Pt
0.17 1.00 0.19
Pt
0.82 0.99 0.83","8.2 8.2 8.2
149 107 81
Yb
0.50 0.50 0.00
Yb
0.20 0.20 0.00
Yb
0.80 0.80 0.00
Ga
0.64 0.36 0.28
Ga
0.36 0.64 0.72
Ga
0.08 0.36 0.72
Ga
0.92 0.64 0.28
Ga
0.52 0.16 0.37
Ga
0.48 0.84 0.63
Ga
0.79 0.16 0.63
Ga
0.21 0.84 0.37
Ga
0.00 0.50 0.50
Pt
0.18 0.00 0.18
Pt
0.82 0.00 0.82",continuous,0.01
"Below is a description of a bulk material. The chemical formula is Yb3Ga9Pt2. The spacegroup number is 71. The formation energy per atom is -0.6411. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.2 8.2 8.1
120 107 81
Yb
0.53 0.52 0.00
Yb
0.20 0.23 0.98
Yb
0.81 0.79 0.01
Ga
0.65 0.38 0.28
Ga
0.35 0.64 0.77
Ga
0.09 0.35 0.73
Ga
0.93 0.63 0.28
Ga
0.52 0.17 0.38
Ga
0.47 0.85 0.60
Ga
0.81 0.17 0.64
Ga
0.23 0.84 0.37
Ga
0.01 0.49 0.50
Pt
0.18 0.98 0.18
Pt
0.81 0.02 0.86","8.2 8.2 8.2
149 107 81
Yb
0.50 0.50 0.00
Yb
0.20 0.20 0.00
Yb
0.80 0.80 0.00
Ga
0.64 0.36 0.28
Ga
0.36 0.64 0.72
Ga
0.08 0.36 0.72
Ga
0.92 0.64 0.28
Ga
0.52 0.16 0.37
Ga
0.48 0.84 0.63
Ga
0.79 0.16 0.63
Ga
0.21 0.84 0.37
Ga
0.00 0.50 0.50
Pt
0.18 0.00 0.18
Pt
0.82 0.00 0.82",continuous,0.015
"Below is a description of a bulk material. The chemical formula is NaLiCO3. The spacegroup number is 189. The formation energy per atom is -2.1606. The band gap is 4.3134. The energy above the convex hull is 0.0094. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.4 8.4 3.4
90 90 120
Na
0.35 0.36 0.53
Na
0.98 0.65 0.48
Na
0.67 0.99 0.52
Li
0.69 0.71 0.02
Li
0.30 0.99 0.96
Li
0.99 0.26 1.00
C
0.69 0.33 0.00
C
0.33 0.65 0.01
C
0.00 0.98 0.48
O
0.86 0.83 0.50
O
0.24 0.77 0.98
O
0.46 0.28 0.01
O
0.15 0.01 0.49
O
0.01 0.14 0.49
O
0.75 0.22 1.00
O
0.50 0.77 0.03
O
0.24 0.53 1.00
O
0.75 0.55 0.03","8.4 8.4 3.4
90 90 120
Na
0.34 0.34 0.50
Na
0.00 0.66 0.50
Na
0.66 0.00 0.50
Li
0.71 0.71 0.00
Li
0.29 0.00 0.00
Li
0.00 0.29 0.00
C
0.67 0.33 0.00
C
0.33 0.67 0.00
C
0.00 0.00 0.50
O
0.85 0.85 0.50
O
0.24 0.75 0.00
O
0.49 0.25 0.00
O
0.15 0.00 0.50
O
0.00 0.15 0.50
O
0.75 0.24 0.00
O
0.51 0.76 0.00
O
0.25 0.49 0.00
O
0.76 0.51 0.00",continuous,0.02
"Below is a description of a bulk material. The chemical formula is NaLiCO3. The spacegroup number is 189. The formation energy per atom is -2.1606. The band gap is 4.3134. The energy above the convex hull is 0.0094. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.4 8.4 3.4
90 90 120
Na
0.35 0.34 0.49
Na
0.97 0.62 0.52
Na
0.64 0.99 0.50
Li
0.73 0.73 0.00
K
0.31 0.97 0.02
Li
0.02 0.30 0.97
C
0.67 0.34 0.99
C
0.32 0.68 0.99
C
0.01 0.02 0.51
O
0.83 0.82 0.49
O
0.22 0.71 0.98
O
0.49 0.26 0.97
O
0.14 0.01 0.50
O
0.00 0.12 0.50
O
0.76 0.24 0.98
O
0.52 0.77 1.00
O
0.28 0.47 0.02
S
0.76 0.50 0.01","8.4 8.4 3.4
90 90 120
Na
0.34 0.34 0.50
Na
0.00 0.66 0.50
Na
0.66 0.00 0.50
Li
0.71 0.71 0.00
Li
0.29 0.00 0.00
Li
0.00 0.29 0.00
C
0.67 0.33 0.00
C
0.33 0.67 0.00
C
0.00 0.00 0.50
O
0.85 0.85 0.50
O
0.24 0.75 0.00
O
0.49 0.25 0.00
O
0.15 0.00 0.50
O
0.00 0.15 0.50
O
0.75 0.24 0.00
O
0.51 0.76 0.00
O
0.25 0.49 0.00
O
0.76 0.51 0.00",composition,0.015
"Below is a description of a bulk material. The chemical formula is NaLiCO3. The spacegroup number is 189. The formation energy per atom is -2.1606. The band gap is 4.3134. The energy above the convex hull is 0.0094. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.4 8.4 3.4
90 90 120
Na
0.33 0.36 0.48
Na
0.00 0.67 0.49
Na
0.65 0.01 0.51
Li
0.70 0.71 0.99
Li
0.30 0.02 0.00
Li
0.01 0.30 0.02
C
0.65 0.33 0.99
C
0.34 0.65 0.99
C
0.99 0.01 0.48
O
0.84 0.84 0.50
O
0.22 0.73 1.00
O
0.48 0.26 0.00
O
0.16 0.99 0.52
O
0.00 0.15 0.51
O
0.75 0.25 0.99
O
0.53 0.76 0.00
O
0.26 0.49 0.99
O
0.76 0.52 0.99","8.4 8.4 3.4
90 90 120
Na
0.34 0.34 0.50
Na
0.00 0.66 0.50
Na
0.66 0.00 0.50
Li
0.71 0.71 0.00
Li
0.29 0.00 0.00
Li
0.00 0.29 0.00
C
0.67 0.33 0.00
C
0.33 0.67 0.00
C
0.00 0.00 0.50
O
0.85 0.85 0.50
O
0.24 0.75 0.00
O
0.49 0.25 0.00
O
0.15 0.00 0.50
O
0.00 0.15 0.50
O
0.75 0.24 0.00
O
0.51 0.76 0.00
O
0.25 0.49 0.00
O
0.76 0.51 0.00",continuous,0.01
"Below is a description of a bulk material. The chemical formula is Na2BiO3. The spacegroup number is 12. The formation energy per atom is -1.6975. The band gap is 0.0. The energy above the convex hull is 0.0333. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.0 6.0 5.9
80 80 120
Na
0.81 0.18 0.49
Na
0.15 0.82 0.48
Na
0.50 0.48 0.51
Na
0.99 1.00 0.01
Bi
0.32 0.68 0.01
Bi
0.64 0.31 0.96
O
0.68 0.74 0.74
O
0.95 0.61 0.22
O
0.57 0.93 0.25
O
0.06 0.42 0.78
O
0.43 0.07 0.77
O
0.27 0.29 0.21","6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.50
Na
0.16 0.84 0.50
Na
0.50 0.50 0.50
Na
0.00 0.00 0.00
Bi
0.33 0.67 0.00
Bi
0.67 0.33 0.00
O
0.71 0.71 0.77
O
0.93 0.56 0.22
O
0.56 0.93 0.22
O
0.07 0.44 0.78
O
0.44 0.07 0.78
O
0.29 0.29 0.23",continuous,0.02
"Below is a description of a bulk material. The chemical formula is Na2BiO3. The spacegroup number is 12. The formation energy per atom is -1.6975. The band gap is 0.0. The energy above the convex hull is 0.0333. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.48
Na
0.15 0.84 0.49
Na
0.49 0.52 0.52
Na
0.02 0.01 0.02
Bi
0.31 0.64 0.02
Bi
0.67 0.31 0.02
O
0.73 0.70 0.74
O
0.92 0.55 0.26
O
0.55 0.88 0.19
O
0.09 0.45 0.79
O
0.39 0.07 0.76
O
0.30 0.24 0.19","6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.50
Na
0.16 0.84 0.50
Na
0.50 0.50 0.50
Na
0.00 0.00 0.00
Bi
0.33 0.67 0.00
Bi
0.67 0.33 0.00
O
0.71 0.71 0.77
O
0.93 0.56 0.22
O
0.56 0.93 0.22
O
0.07 0.44 0.78
O
0.44 0.07 0.78
O
0.29 0.29 0.23",continuous,0.02
"Below is a description of a bulk material. The chemical formula is Na2BiO3. The spacegroup number is 12. The formation energy per atom is -1.6975. The band gap is 0.0. The energy above the convex hull is 0.0333. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.0 6.0 6.0
80 80 120
Na
0.84 0.15 0.51
Na
0.20 0.84 0.50
Na
0.51 0.51 0.50
Na
0.99 0.99 0.98
Bi
0.34 0.67 0.02
Bi
0.66 0.34 0.01
O
0.72 0.71 0.77
O
0.95 0.55 0.21
O
0.56 0.93 0.22
O
0.06 0.44 0.79
O
0.43 0.07 0.78
O
0.28 0.29 0.23","6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.50
Na
0.16 0.84 0.50
Na
0.50 0.50 0.50
Na
0.00 0.00 0.00
Bi
0.33 0.67 0.00
Bi
0.67 0.33 0.00
O
0.71 0.71 0.77
O
0.93 0.56 0.22
O
0.56 0.93 0.22
O
0.07 0.44 0.78
O
0.44 0.07 0.78
O
0.29 0.29 0.23",continuous,0.01
"Below is a description of a bulk material. The chemical formula is InBiS3. The spacegroup number is 11. The formation energy per atom is -0.7366. The band gap is 1.4018. The energy above the convex hull is 0.0033. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.9 6.6 10.0
89 90 90
In
0.25 0.76 0.01
Ga
0.73 0.22 0.96
Bi
0.25 0.40 0.34
Bi
0.76 0.60 0.64
S
0.76 0.26 0.54
O
0.24 0.75 0.52
S
0.26 0.43 0.85
S
0.74 0.59 0.16
Se
0.26 0.09 0.14
S
0.72 0.91 0.89","3.9 6.7 9.9
89 90 90
In
0.25 0.75 1.00
In
0.75 0.25 0.00
Bi
0.25 0.40 0.35
Bi
0.75 0.60 0.65
S
0.75 0.25 0.51
S
0.25 0.75 0.49
S
0.25 0.43 0.85
S
0.75 0.57 0.15
S
0.25 0.08 0.14
S
0.75 0.92 0.86",composition,0.02
